For more accurate power reporting use build_rtl_power_models after generic synthesis.
============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  11:57:39 am
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                    Leakage     Dynamic        Total     
                  Instance                   Cells Power(nW)   Power(nW)     Power(nW)   
              ADDER                              8     0.783     15903.287     15904.069 
                g1                               8     0.783     15903.287     15904.069 
              mux_w_selector[0]_46_58            8     0.515     23534.447     23534.962 
              mux_w_flop[0]_53_46                8     0.515     10882.508     10883.022 
              mux_w_selector[1]_46_58            8     0.515     24168.629     24169.144 
              mux_w_flop[1]_53_46                8     0.515     10014.679     10015.194 
              mux_w_selector[2]_46_58            8     0.515     24368.898     24369.412 
              mux_w_flop[2]_53_46                8     0.515     10481.971     10482.486 
              mux_w_selector[3]_46_58            8     0.515     24368.898     24369.412 
              mux_w_flop[3]_53_46                8     0.515     10214.947     10215.462 
              mux_w_selector[4]_46_58            8     0.515     24035.117     24035.632 
              mux_w_flop[4]_53_46                8     0.515      9614.143      9614.657 
              mux_w_selector[5]_46_58            8     0.515     24435.654     24436.168 
              mux_w_flop[5]_53_46                8     0.515     10014.679     10015.194 
              mux_w_selector[6]_46_58            8     0.515     24435.654     24436.168 
              mux_w_flop[6]_53_46                8     0.515      9747.655      9748.169 
              mux_w_selector[7]_46_58            8     0.515     24302.142     24302.656 
              mux_w_flop[7]_53_46                8     0.515      9614.143      9614.657 
              mux_w_selector[8]_46_58            8     0.515     24435.654     24436.168 
              mux_w_flop[8]_53_46                8     0.515      9747.655      9748.169 
              mux_w_selector[9]_46_58            8     0.515     24435.654     24436.168 
              mux_w_flop[9]_53_46                8     0.515     10014.679     10015.194 
              mux_w_selector[10]_46_58           8     0.515     24302.142     24302.656 
              mux_w_flop[10]_53_46               8     0.515     10148.191     10148.706 
              mux_w_selector[11]_46_58           8     0.515     24368.898     24369.412 
              mux_w_flop[11]_53_46               8     0.515     10214.947     10215.462 
              mux_w_selector[12]_46_58           8     0.515     24435.654     24436.168 
              mux_w_flop[12]_53_46               8     0.515     10281.703     10282.218 
              mux_w_selector[13]_46_58           8     0.515     24368.898     24369.412 
              mux_w_flop[13]_53_46               8     0.515      9947.923      9948.438 
              mux_w_selector[14]_46_58           8     0.515     24435.654     24436.168 
              mux_w_flop[14]_53_46               8     0.515     10281.703     10282.218 
              mux_w_selector[15]_46_58           8     0.515     24435.654     24436.168 
              mux_w_flop[15]_53_46               8     0.515     10281.703     10282.218 
              mux_w_selector[16]_46_58           8     0.515     24435.654     24436.168 
              mux_w_flop[16]_53_46               8     0.515      9480.630      9481.145 
              mux_o_has_error_94_13              1     0.064       614.450       614.514 
            RS_CHIEN_F.._CONTROL_INST          261    14.910    337791.896    337806.806 
              mux_r_counter_198_18               8     2.886     30342.448     30345.334 
              sub0050886466                     85     2.192     39434.215     39436.408 
              add_211_44                        33     1.226     30832.877     30834.103 
              mux_r_state_198_18                 3     1.082      9761.155      9762.237 
              eq_212_35                         14     1.050     14697.476     14698.526 
              mux_r_counter_194_17               8     0.515      4138.876      4139.391 
              mux_cmbsop_o_error_258_14          3     0.331      1232.668      1232.999 
              mux_o_select_input_258_14          3     0.331      1605.354      1605.685 
              ctl_258_14                        15     0.260      6123.763      6124.023 
              mux_r_state_213_75                 3     0.193      2553.895      2554.088 
              mux_r_state_212_35                 3     0.193       801.073       801.266 
              mux_r_state_231_38                 3     0.193         0.000         0.193 
              mux_r_state_229_35                 3     0.193      2132.220      2132.413 
              mux_r_state_239_35                 3     0.193      3507.487      3507.680 
              mux_r_state_194_17                 3     0.193      1201.609      1201.802 
              ctl_r_state_258_14                10     0.182      7116.624      7116.806 
              mux_r_state_202_71                 2     0.129         0.000         0.129 
              mux_r_state_201_39                 2     0.129      1118.323      1118.451 
              mux_r_state_243_71                 2     0.129         0.000         0.129 
              mux_r_state_241_42                 2     0.129      1118.323      1118.451 
              mux_o_stall_258_14                 1     0.110     61386.217     61386.327 
              mux_o_rd_symbol_258_14             1     0.110      1285.852      1285.963 
              mux_o_rd_n..ymbols_258_14          1     0.110       653.208       653.318 
              mux_o_rd_c..forney_258_14          1     0.110       653.208       653.318 
              mux_r_state_222_35                 1     0.064       851.298       851.363 
              mux_o_select_input_258_19          1     0.055     63701.060     63701.115 
            NUMBER_OF_SYMBOLS_FLOP               8     1.385     15942.875     15944.260 
            mux_w_numb..symbols_94_69            8     0.515      8946.582      8947.097 
            FIFO_READY_FLOP                      1     0.173      2485.916      2486.090 
          RS_SYNDROME_INST                   11921  1554.548   3358899.467   3360454.015 
            RS_SYNDROME_UNIT_INST            11520  1536.495   3202341.629   3203878.124 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[1][i]_2340_2        8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[2][i]_2340_2        8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[4][i]_2340_2        8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[8][i]_2340_2        8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
                MULTIPLIER                     304    42.404     38012.275     38054.679 
                  MULT_LUT                     304    42.404     38012.275     38054.679 
                    mux_mt_8[16][i]_2340_2       8    36.959      5719.905      5756.864 
                    ctl_i_51_31                296     5.445     32292.369     32297.815 
                LOOP_ASYNC_DFF                  16     1.900     18173.388     18175.287 
                  mux_q_27_12                    8     0.515      4272.388      4272.903 
                OUTPUT_ASYNC_DFF                16     1.900      9304.931      9306.830 
                  mux_q_27_12                    8     0.515      1068.097      1068.612 
                END_ADDER                        8     0.783     13447.316     13448.099 
                  g1                             8     0.783     13447.316     13448.099 
                mux_w_d_fl..elector_56_52        8     0.515      9207.436      9207.951 
                mux_w_end_..elector_42_60        8     0.515      8946.582      8947.097 
              GEN_RS_SYN.._SUBUNIT_INST        360    48.015     97091.927     97139.943 
