For more accurate power reporting use build_rtl_power_models after generic synthesis.
============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.20-p003_1
  Generated on:           Sep 06 2020  11:57:39 am
  Module:                 vlc_phy_fec
  Technology libraries:   tcb018gbwp7ttc 270
                          physical_cells 
  Operating conditions:   NCCOM 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                                    Leakage     Dynamic        Total     
                  Instance                   Cells Power(nW)   Power(nW)     Power(nW)   
                g13                              8     0.783         0.000         0.783 
                g14                              8     0.783         0.000         0.783 
                g15                              8     0.783         0.000         0.783 
                g16                              8     0.783         0.000         0.783 
                g17                              8     0.783         0.000         0.783 
              mux_r_synd..ndexer]_260_5          8     9.628     65843.710     65853.338 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              GEN_SYNDRO..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              DISCREPANCY_MULT                 138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              T_GREATER_..LOCATION_MULT        138     9.430         0.000         9.430 
                FULL_MULTIPLIER                138     9.430         0.000         9.430 
              FIRST_SYNDROME_REG                16     1.900     11655.007     11656.906 
                mux_q_28_21                      8     0.515      3738.339      3738.854 
              sub_367_101                       59     1.639         0.000         1.639 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              T_GREATER_..CATTION_ADDER          8     0.783         0.000         0.783 
                g1                               8     0.783         0.000         0.783 
              sub_458_49                        21     0.772         0.000         0.772 
              gte_353_83                        33     0.603         0.000         0.603 
              mux_w_sele..epancy_394_71          8     0.515      2136.194      2136.709 
              mux_r_discrepancy_380_39           8     0.515         0.000         0.515 
              mux_r_discrepancy_378_31           8     0.515      2136.194      2136.709 
              mux_r_valu..ly[15]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..ly[14]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..ly[13]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..ly[12]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..ly[11]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..ly[10]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[9]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[8]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[7]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[6]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[5]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[4]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[3]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[2]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[1]_453_31          8     0.515      2136.194      2136.709 
              mux_r_valu..oly[0]_453_31          8     0.515      2136.194      2136.709 
              mux_r_2l_366_39                    7     0.450         0.000         0.450 
              mux_r_2l_364_31                    7     0.450      1869.170      1869.620 
              gte_457_68                        11     0.196         0.000         0.196 
              mux_w_load..values_353_59          1     0.064         0.000         0.064 
            RS_BERLEKA.._CONTROL_INST          118     7.869    242996.334    243004.202 
              mux_r_synd..indexer_41_18          5     1.804      3603.274      3605.077 
              mux_r_state_41_16                  2     0.722      1017.716      1018.438 
              add_50_62                         18     0.719         0.000         0.719 
              mux_cmbsop..y_phase_89_14          4     0.442      3519.007      3519.449 
              mux_r_synd..indexer_56_48          5     0.322         0.000         0.322 
              mux_r_synd..indexer_37_11          5     0.322       534.048       534.370 
              ctl_89_12                         15     0.260      4342.602      4342.862 
              mux_o_rst_bm_unit_89_14            2     0.221       944.329       944.550 
              mux_r_state_37_11                  3     0.193       534.048       534.241 
              ctl_r_state_89_14                 10     0.182      2828.409      2828.591 
              mux_r_state_76_50                  2     0.129         0.000         0.129 
              mux_o_berl..y_ready_89_14          1     0.110       209.026       209.137 
              mux_r_state_41_18                  1     0.110       863.665       863.775 
              mux_r_state_44_42                  1     0.064         0.000         0.064 
              mux_r_state_53_44                  1     0.064         0.000         0.064 
              mux_r_state_69_44                  1     0.064         0.000         0.064 
              mux_r_state_78_45                  1     0.064         0.000         0.064 
              mux_o_berl..y_ready_89_11          1     0.047         0.000         0.047 
              mux_o_rst_bm_unit_89_15            1     0.047    213001.825    213001.872 
          GEN_NO_PAR..BOL_FIFO_INST           2586   353.228   1107500.458   1107853.686 
            mux_r_FIFO..D_INDEX]_53_3            8    54.484     30992.536     31047.020 
            sub_80_40                           84     2.264     41204.648     41206.913 
            add_78_40                           82     2.231     46200.506     46202.737 
            add_88_38                           33     1.226      7047.877      7049.103 
            add_97_38                           33     1.226     25320.242     25321.468 
            gte_113_46                          54     0.988     16497.828     16498.816 
            mux_r_FIFO_COUNT_77_27               9     0.579     10888.395     10888.974 
            mux_r_FIFO_COUNT_70_14               9     0.579      4672.924      4673.503 
            mux_r_RD_INDEX_94_25                 8     0.515      5149.824      5150.339 
            mux_r_RD_INDEX_70_14                 8     0.515      2536.731      2537.245 
            mux_r_WR_INDEX_85_25                 8     0.515      2439.391      2439.905 
            mux_r_WR_INDEX_70_14                 8     0.515      1201.609      1202.124 
            mux_w_EMPTY_114_36                   1     0.064       542.087       542.151 
            mux_w_FULL_112_36                    1     0.064         0.000         0.064 
            mux_w_FULL..US_ONE_113_46            1     0.064         0.000         0.064 
          GEN_NO_PAR.._CASCADE_INST            576    68.393    324335.801    324404.193 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137     12775.226     12777.364 
              mux_o_data_21_14                   9     0.579      4272.388      4272.967 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7434.434      7436.572 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7783.140      7785.277 
              mux_o_data_21_14                   9     0.579      1201.609      1202.188 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7073.671      7075.808 
              mux_o_data_21_14                   9     0.579      1201.609      1202.188 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6612.749      6614.887 
              mux_o_data_21_14                   9     0.579       801.073       801.652 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6845.220      6847.357 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7199.954      7202.092 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7193.926      7196.063 
              mux_o_data_21_14                   9     0.579      1134.853      1135.432 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6845.220      6847.357 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7199.954      7202.092 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7548.660      7550.797 
              mux_o_data_21_14                   9     0.579      1134.853      1135.432 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7075.681      7077.818 
              mux_o_data_21_14                   9     0.579      1134.853      1135.432 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6847.230      6849.367 
              mux_o_data_21_14                   9     0.579       867.829       868.408 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7079.700      7081.837 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6251.986      6254.124 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6029.564      6031.701 
              mux_o_data_21_14                   9     0.579       534.048       534.627 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6610.740      6612.877 
              mux_o_data_21_14                   9     0.579       867.829       868.408 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6965.474      6967.612 
              mux_o_data_21_14                   9     0.579       867.829       868.408 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7314.180      7316.317 
              mux_o_data_21_14                   9     0.579      1068.097      1068.676 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7195.936      7198.073 
              mux_o_data_21_14                   9     0.579      1068.097      1068.676 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7079.700      7081.837 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7079.700      7081.837 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6843.210      6845.348 
              mux_o_data_21_14                   9     0.579      1001.341      1001.920 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6610.740      6612.877 
              mux_o_data_21_14                   9     0.579       867.829       868.408 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6492.495      6494.633 
              mux_o_data_21_14                   9     0.579       867.829       868.408 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6612.750      6614.887 
              mux_o_data_21_14                   9     0.579       801.073       801.652 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      6845.220      6847.357 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7318.199      7320.336 
              mux_o_data_21_14                   9     0.579       934.585       935.164 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7546.650      7548.788 
              mux_o_data_21_14                   9     0.579      1201.609      1202.188 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7314.180      7316.317 
              mux_o_data_21_14                   9     0.579      1068.097      1068.676 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137      7432.425      7434.562 
              mux_o_data_21_14                   9     0.579      1068.097      1068.676 
            GEN_CONVOL..C_D_FLOP_INST           18     2.137    101277.884    101280.022 
              mux_o_data_21_14                   9     0.579      1134.853      1135.432 
          SYNDROME_FIFO_ARRAY_INST             321    47.129    157118.194    157165.323 
            sub_81_40                           19     0.584         0.000         0.584 
            add_79_40                           17     0.550         0.000         0.550 
            mux_r_FIFO_COUNT_78_27               3     0.193         0.000         0.193 
            mux_r_FIFO_COUNT_71_14               3     0.193         0.000         0.193 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          CHIEN_FIFO_ARRAY_INST                201    26.352     72826.058     72852.410 
            sub_81_40                           19     0.584      3436.131      3436.714 
            add_79_40                           17     0.550      3078.281      3078.832 
            mux_r_FIFO_COUNT_78_27               3     0.193      1588.863      1589.056 
            mux_r_FIFO_COUNT_71_14               3     0.193       667.561       667.754 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          FORNEY_FIFO_ARRAY_INST               193    24.967     59417.944     59442.911 
            sub_81_40                           19     0.584       580.378       580.962 
            add_79_40                           17     0.550       743.970       744.520 
            mux_r_FIFO_COUNT_78_27               3     0.193       371.178       371.371 
            mux_r_FIFO_COUNT_71_14               3     0.193       133.512       133.705 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_113_36                    1     0.064         0.000         0.064 
          NUMBER_OF_..OLS_FIFO_INST            168    12.052     21702.820     21714.872 
            mux_r_FIFO..D_INDEX]_53_3            8     0.795         0.000         0.795 
            sub_80_40                           26     0.794         0.000         0.794 
            add_78_40                           24     0.761         0.000         0.761 
            mux_r_FIFO_COUNT_77_27               4     0.257         0.000         0.257 
            mux_r_FIFO_COUNT_70_14               4     0.257         0.000         0.257 
            add_88_38                            5     0.249         0.000         0.249 
            add_97_38                            5     0.249         0.000         0.249 
            mux_r_RD_INDEX_94_25                 2     0.129         0.000         0.129 
            mux_r_RD_INDEX_70_14                 2     0.129         0.000         0.129 
            mux_r_WR_INDEX_85_25                 2     0.129         0.000         0.129 
            mux_r_WR_INDEX_70_14                 2     0.129         0.000         0.129 
            mux_w_EMPTY_114_36                   1     0.064         0.000         0.064 
            mux_w_FULL_112_36                    1     0.064         0.000         0.064 
          INPUT_ASYNC_DFF                       16     1.900     78731.147     78733.047 
            mux_q_27_12                          8     0.515      5340.485      5341.000 
          ERROR_CORR..ON_ADDER_INST              8     0.783         0.000         0.783 
            g1                                   8     0.783         0.000         0.783 
      RS_15_2                                 4485   326.650   2519552.098   2519878.748 
        GEN_DECODER.DECODER_INST              4485   326.650   2519552.098   2519878.748 
          RS_BERLEKAMP_MASSEY_INST            1090    86.064    464957.243    465043.308 
            RS_BERLEKA..SEY_UNIT_INST          983    79.062    392786.714    392865.777 
              SYNDROME_REGISTER_ARRAY          104    12.349    107143.814    107156.162 
                mux_w_q[12]_33_20                4     0.257      2770.694      2770.951 
                mux_w_q[11]_33_20                4     0.257      3594.893      3595.150 
                mux_w_q[10]_33_20                4     0.257      3980.886      3981.143 
                mux_w_q[9]_33_20                 4     0.257      3329.855      3330.113 
                mux_w_q[8]_33_20                 4     0.257      3515.580      3515.838 
                mux_w_q[7]_33_20                 4     0.257      3382.068      3382.325 
                mux_w_q[6]_33_20                 4     0.257      2770.694      2770.951 
                mux_w_q[5]_33_20                 4     0.257      3183.787      3184.044 
                mux_w_q[4]_33_20                 4     0.257      3050.275      3050.532 
                mux_w_q[3]_33_20                 4     0.257      3555.236      3555.494 
                mux_w_q[2]_33_20                 4     0.257      2770.694      2770.951 
                mux_w_q[1]_33_20                 4     0.257      2770.694      2770.951 
                mux_w_q[0]_33_20                 4     0.257      3369.512      3369.769 
              T_GREATER_..CTION_SHIFTER         72     7.244     40648.621     40655.865 
                mux_r_array[0]_202_39            4     0.257       638.474       638.731 
                mux_r_array[0]_200_21            4     0.257      2290.845      2291.102 
                mux_r_array[1]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[1]_200_21            4     0.257      1919.396      1919.653 
                mux_r_array[2]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[2]_200_21            4     0.257      1919.396      1919.653 
                mux_r_array[3]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[3]_200_21            4     0.257      1919.396      1919.653 
                mux_r_array[4]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[4]_200_21            4     0.257      1919.396      1919.653 
                mux_r_array[5]_202_39            4     0.257      1118.323      1118.580 
                mux_r_array[5]_200_21            4     0.257      2503.670      2503.927 
              SYNDROME_SHIFTER                  48     5.699     30985.061     30990.761 
                mux_r_array[0]_168_21            4     0.257      1068.097      1068.354 
                mux_r_array[1]_168_21            4     0.257      1919.396      1919.653 
                mux_r_array[2]_168_21            4     0.257      1706.571      1706.828 
                mux_r_array[3]_168_21            4     0.257      1919.396      1919.653 
                mux_r_array[4]_168_21            4     0.257      1919.396      1919.653 
                mux_r_array[5]_168_21            4     0.257      1919.396      1919.653 
              LOCATION_POLY_REGISTER            48     5.699     39114.403     39120.102 
                mux_q[5]_31_17                   4     0.257      1201.609      1201.866 
                mux_q[4]_31_17                   4     0.257      1201.609      1201.866 
                mux_q[3]_31_17                   4     0.257      1201.609      1201.866 
                mux_q[2]_31_17                   4     0.257      1201.609      1201.866 
                mux_q[1]_31_17                   4     0.257      1201.609      1201.866 
                mux_q[0]_31_17                   4     0.257      1201.609      1201.866 
              REDUCE_ADDER                      24     2.348      6936.772      6939.119 
                g2                               4     0.391       456.823       457.214 
                g3                               4     0.391       615.448       615.839 
                g4                               4     0.391       456.823       457.214 
                g5                               4     0.391       923.172       923.563 
                g6                               4     0.391      1151.584      1151.975 
                g7                               4     0.391      3332.922      3333.313 
              mux_r_synd..ndexer]_260_5          4     2.234     15394.917     15397.152 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      5975.665      5977.681 
                FULL_MULTIPLIER                 31     2.015      5975.665      5977.681 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              GEN_SYNDRO..LOCATION_MULT         31     2.015      7001.014      7003.029 
                FULL_MULTIPLIER                 31     2.015      7001.014      7003.029 
              DISCREPANCY_MULT                  31     2.015      5067.109      5069.125 
                FULL_MULTIPLIER                 31     2.015      5067.109      5069.125 
              T_GREATER_..LOCATION_MULT         31     2.015      4190.505      4192.520 
                FULL_MULTIPLIER                 31     2.015      4190.505      4192.520 
              T_GREATER_..LOCATION_MULT         31     2.015      4190.505      4192.520 
                FULL_MULTIPLIER                 31     2.015      4190.505      4192.520 
              T_GREATER_..LOCATION_MULT         31     2.015      4190.505      4192.520 
                FULL_MULTIPLIER                 31     2.015      4190.505      4192.520 
              T_GREATER_..LOCATION_MULT         31     2.015      4190.505      4192.520 
                FULL_MULTIPLIER                 31     2.015      4190.505      4192.520 
              T_GREATER_..LOCATION_MULT         31     2.015      4190.505      4192.520 
                FULL_MULTIPLIER                 31     2.015      4190.505      4192.520 
              T_GREATER_..LOCATION_MULT         31     2.015      4054.320      4056.335 
                FULL_MULTIPLIER                 31     2.015      4054.320      4056.335 
              DISCREPANCY_INVERTER              40     1.821      3968.188      3970.009 
                mux_gp_inverse_4[i]_17_2         4     1.225       922.697       923.921 
                ctl_i_42_33                     36     0.596      3045.492      3046.087 
              sub_367_101                       39     1.112      4991.689      4992.801 
              FIRST_SYNDROME_REG                 8     0.950      6841.418      6842.368 
                mux_q_28_21                      4     0.257      2536.730      2536.988 
              sub_458_49                        17     0.621         0.000         0.621 
              gte_353_83                        23     0.420      2065.732      2066.152 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              T_GREATER_..CATTION_ADDER          4     0.391      1051.177      1051.569 
                g1                               4     0.391      1051.177      1051.569 
              mux_r_2l_366_39                    5     0.322      1421.973      1422.294 
              mux_r_2l_364_31                    5     0.322      2002.682      2003.004 
              mux_w_sele..epancy_394_71          4     0.257      2225.477      2225.734 
              mux_r_discrepancy_380_39           4     0.257      1013.398      1013.656 
              mux_r_discrepancy_378_31           4     0.257      1468.633      1468.891 
              mux_r_valu..oly[5]_453_31          4     0.257      1468.633      1468.891 
              mux_r_valu..oly[4]_453_31          4     0.257      1468.633      1468.891 
              mux_r_valu..oly[3]_453_31          4     0.257      1468.633      1468.891 
              mux_r_valu..oly[2]_453_31          4     0.257      1468.633      1468.891 
              mux_r_valu..oly[1]_453_31          4     0.257      1468.633      1468.891 
              mux_r_valu..oly[0]_453_31          4     0.257      1468.633      1468.891 
              gte_457_68                         8     0.144         0.000         0.144 
              mux_w_load..values_353_59          1     0.064         0.000         0.064 
            RS_BERLEKA.._CONTROL_INST          107     7.002     72170.529     72177.531 
              mux_r_synd..indexer_41_18          4     1.443      3094.415      3095.859 
              mux_r_state_41_16                  2     0.722      1017.716      1018.438 
              add_50_62                         13     0.550         0.000         0.550 
              mux_cmbsop..y_phase_89_14          4     0.442      2604.382      2604.824 
              ctl_89_12                         15     0.260      4342.602      4342.862 
              mux_r_synd..indexer_56_48          4     0.257         0.000         0.257 
              mux_r_synd..indexer_37_11          4     0.257       534.048       534.306 
              mux_o_rst_bm_unit_89_14            2     0.221       944.329       944.550 
              mux_r_state_37_11                  3     0.193       534.048       534.241 
              ctl_r_state_89_14                 10     0.182      2828.409      2828.591 
              mux_r_state_76_50                  2     0.129         0.000         0.129 
              mux_o_berl..y_ready_89_14          1     0.110       209.026       209.137 
              mux_r_state_41_18                  1     0.110       863.665       863.775 
              mux_r_state_44_42                  1     0.064         0.000         0.064 
              mux_r_state_53_44                  1     0.064         0.000         0.064 
              mux_r_state_69_44                  1     0.064         0.000         0.064 
              mux_r_state_78_45                  1     0.064         0.000         0.064 
              mux_o_berl..y_ready_89_11          1     0.047         0.000         0.047 
              mux_o_rst_bm_unit_89_15            1     0.047     44224.837     44224.884 
          RS_SYNDROME_INST                    1180    73.738    736663.711    736737.450 
            RS_SYNDROME_UNIT_INST              884    60.143    651873.231    651933.373 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     48178.560     48183.187 
                MULTIPLIER                      40     1.821     15798.922     15800.743 
                  MULT_LUT                      40     1.821     15798.922     15800.743 
                    mux_mt_4[1][i]_2092_2        4     1.225      3645.065      3646.289 
                    ctl_i_39_31                 36     0.596     12153.857     12154.453 
                LOOP_ASYNC_DFF                   8     0.950      9086.694      9087.644 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                OUTPUT_ASYNC_DFF                 8     0.950      4156.180      4157.130 
                  mux_q_27_12                    4     0.257      1068.097      1068.354 
                END_ADDER                        4     0.391      9792.731      9793.122 
                  g1                             4     0.391      9792.731      9793.122 
                mux_w_d_fl..elector_56_52        4     0.257      4870.742      4871.000 
                mux_w_end_..elector_42_60        4     0.257      4473.291      4473.548 
              GEN_RS_SYN.._SUBUNIT_INST         68     4.626     48178.560     48183.187 
                MULTIPLIER                      40     1.821     15798.922     15800.743 
                  MULT_LUT                      40     1.821     15798.922     15800.743 
                    mux_mt_4[2][i]_2092_2        4     1.225      3645.065      3646.289 
                    ctl_i_39_31                 36     0.596     12153.857     12154.453 
                LOOP_ASYNC_DFF                   8     0.950      9086.694      9087.644 
                  mux_q_27_12                    4     0.257      2136.194      2136.451 
                OUTPUT_ASYNC_DFF                 8     0.950      4156.180      4157.130 
                  mux_q_27_12                    4     0.257      1068.097      1068.354 
                END_ADDER                        4     0.391      9792.731      9793.122 
                  g1                             4     0.391      9792.731      9793.122 
                mux_w_d_fl..elector_56_52        4     0.257      4870.742      4871.000 
                mux_w_end_..elector_42_60        4     0.257      4473.291      4473.548 
